State,Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Phone,Day Mins,Eve Mins,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
KS,128,415,no,yes,25,382-4657,265.1,197.4,110,45.07,99,16.78,244.7,91,11.01,10,3,2.7,1,0
OH,107,415,no,yes,26,371-7191,161.6,195.5,123,27.47,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0
NJ,137,415,no,no,0,358-1921,243.4,121.2,114,41.38,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0
OH,84,408,yes,no,0,375-9999,299.4,61.9,71,50.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0
OK,75,415,yes,no,0,330-6626,166.7,148.3,113,28.34,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0
AL,118,510,yes,no,0,391-8027,223.4,220.6,98,37.98,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0
MA,121,510,no,yes,24,355-9993,218.2,348.5,88,37.09,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0
MO,147,415,yes,no,0,329-9001,157,103.1,79,26.69,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0
LA,117,408,no,no,0,335-4719,184.5,351.6,97,31.37,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0
WV,141,415,yes,yes,37,330-8173,258.6,222,84,43.96,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0
RI,74,415,no,no,0,344-9403,187.7,163.4,127,31.91,148,13.89,196,94,8.82,9.1,5,2.46,0,0
IA,168,408,no,no,0,363-1107,128.8,104.9,96,21.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0
MT,95,510,no,no,0,394-8006,156.6,247.6,88,26.62,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0
IA,62,415,no,no,0,366-9238,120.7,307.2,70,20.52,76,26.11,203,99,9.14,13.1,6,3.54,4,0
ID,85,408,no,yes,27,350-8884,196.4,280.9,139,33.39,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0
VT,93,510,no,no,0,386-2923,190.7,218.2,114,32.42,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0
VA,76,510,no,yes,33,356-2992,189.7,212.8,66,32.25,65,18.09,165.7,108,7.46,10,5,2.7,1,0
TX,73,415,no,no,0,373-2782,224.4,159.5,90,38.15,88,13.56,192.8,74,8.68,13,2,3.51,1,0
FL,147,415,no,no,0,396-5800,155.1,239.7,117,26.37,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0
AZ,130,415,no,no,0,358-1958,183,72.9,112,31.11,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0
SC,111,415,no,no,0,350-2565,110.4,137.3,103,18.77,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0
VA,132,510,no,no,0,343-4696,81.1,245.2,86,13.79,72,20.84,237,115,10.67,10.3,2,2.78,0,0
NE,174,415,no,no,0,331-3698,124.3,277.1,76,21.13,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0
WY,57,408,no,yes,39,357-3817,213,191.1,115,36.21,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0
MT,54,408,no,no,0,418-6412,134.3,155.5,73,22.83,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0
MO,20,415,no,no,0,353-2630,190,258.2,109,32.3,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0
HI,49,510,no,no,0,410-7789,119.3,215.1,117,20.28,109,18.28,178.7,90,8.04,11.1,1,3,1,0
IL,142,415,no,no,0,416-8428,84.8,136.7,95,14.42,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0
NH,75,510,no,no,0,370-3359,226.1,201.5,105,38.44,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0
LA,172,408,no,no,0,383-1121,212,31.2,121,36.04,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0
OK,57,408,no,yes,25,395-2854,176.8,195,94,30.06,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0
GA,72,415,no,yes,37,362-1407,220,217.3,80,37.4,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0
AK,36,408,no,yes,30,341-9764,146.3,162.5,128,24.87,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0
MA,78,415,no,no,0,353-3305,130.8,223.7,64,22.24,116,19.01,227.8,108,10.25,10,5,2.7,1,0
AK,136,415,yes,yes,33,402-1381,203.9,187.6,106,34.66,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0
NJ,149,408,no,no,0,332-9891,140.4,271.8,94,23.87,92,23.1,188.3,108,8.47,11.1,9,3,1,0
GA,98,408,no,no,0,372-9976,126.3,166.8,102,21.47,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0
AR,34,510,no,no,0,353-7289,124.8,282.2,82,21.22,98,23.99,311.5,78,14.02,10,4,2.7,2,0
ID,160,415,no,no,0,390-7274,85.8,165.3,77,14.59,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0
WI,64,510,no,no,0,352-1237,154,225.8,67,26.18,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0
OR,59,408,no,yes,28,353-3061,120.9,213,97,20.55,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0
MI,65,415,no,no,0,363-5450,211.3,162.6,120,35.92,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0
DE,142,408,no,no,0,364-1995,187,134.6,133,31.79,74,11.44,242.2,127,10.9,7.4,5,2,2,0
WY,97,415,no,yes,24,405-7146,133.2,217.2,135,22.64,58,18.46,70.6,79,3.18,11,3,2.97,1,0
IA,52,408,no,no,0,413-4957,191.9,269.8,108,32.62,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0
IN,60,408,no,no,0,420-5645,220.6,211.1,57,37.5,115,17.94,249,129,11.21,6.8,3,1.84,1,0
VA,10,408,no,no,0,349-4396,186.1,190.2,112,31.64,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0
UT,96,415,no,no,0,404-3211,160.2,267.5,117,27.23,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0
IN,81,408,no,no,0,363-5947,175.5,249.3,67,29.84,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0
CO,141,415,no,no,0,340-5121,126.9,180,98,21.57,62,15.3,140.8,128,6.34,8,2,2.16,1,0
WI,68,415,no,no,0,403-9733,148.8,246.5,70,25.3,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0
OK,125,408,no,no,0,355-7251,229.3,177.4,103,38.98,126,15.08,189.3,95,8.52,12,8,3.24,1,0
ID,174,408,no,no,0,359-5893,192.1,169.9,97,32.66,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0
CA,116,415,no,yes,34,405-3371,268.6,178.2,83,45.66,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0
MN,74,510,no,yes,33,344-5117,193.7,246.1,91,32.93,96,20.92,138,92,6.21,14.6,3,3.94,2,0
SD,149,408,no,yes,28,332-8160,180.7,187.8,92,30.72,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0
NC,38,408,no,no,0,359-4081,131.2,162.9,98,22.3,97,13.85,159,106,7.15,8.2,6,2.21,2,0
WA,40,415,no,yes,41,352-8305,148.1,169.5,74,25.18,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0
WY,43,415,yes,no,0,329-9847,251.5,212.8,105,42.76,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0
MN,113,408,yes,no,0,365-9011,125.2,206.4,93,21.28,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0
UT,126,408,no,no,0,338-9472,211.6,216.9,70,35.97,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0
NJ,138,408,no,no,0,359-1231,241.8,170.5,93,41.11,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0
MN,162,510,no,yes,46,413-7170,224.9,188.2,97,38.23,84,16,254.6,61,11.46,12.1,2,3.27,0,0
NM,147,510,no,no,0,415-2935,248.6,148.9,83,42.26,85,12.66,172.5,109,7.76,8,4,2.16,3,0
NV,90,415,no,no,0,399-4246,203.4,226.7,146,34.58,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0
